NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;jumlah_keluarga_berisiko_stunting;keluarga_tidak_memiliki_sumber_air_minum_layak;keluarga_tidak_memiliki_jamban_layak;pus_terlalu_muda_tidak_menggunakan_kb;pus_terlalu_tua_tidak_menggunakan_kb;pus_terlalu_dekat_tidak_menggunakan_kb;pus_terlalu_banyak_tidak_menggunakan_kb
;15;JAMBI;1501;KERINCI;150105;AIR HANGAT;109;1;59;0;43;0;11
;15;JAMBI;1501;KERINCI;150121;AIR HANGAT BARAT;155;4;61;3;66;0;32
;15;JAMBI;1501;KERINCI;150111;AIR HANGAT TIMUR;1.172;696;551;16;119;0;62
;15;JAMBI;1501;KERINCI;150107;BATANG MERANGIN;564;112;411;10;90;1;63
;15;JAMBI;1501;KERINCI;150120;BUKITKERMAN;615;175;337;5;160;4;133
;15;JAMBI;1501;KERINCI;150102;DANAU KERINCI;300;16;160;4;103;2;53
;15;JAMBI;1501;KERINCI;150123;DANAU KERINCI BARAT;507;115;214;1;133;1;112
;15;JAMBI;1501;KERINCI;150117;DEPATI TUJUH;468;6;299;0;128;0;73
;15;JAMBI;1501;KERINCI;150106;GUNUNG KERINCI;1.305;325;1.133;18;100;1;71
;15;JAMBI;1501;KERINCI;150101;GUNUNG RAYA;340;109;197;4;71;0;57
;15;JAMBI;1501;KERINCI;150115;GUNUNG TUJUH;669;49;509;10;57;0;94
;15;JAMBI;1501;KERINCI;150109;KAYU ARO;1.359;214;1.019;13;214;2;180
;15;JAMBI;1501;KERINCI;150119;KAYU ARO BARAT;513;197;153;9;124;4;83
;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;620;103;490;2;109;1;63
;15;JAMBI;1501;KERINCI;150104;SITINJAU LAUT;473;10;302;3;150;0;72
;15;JAMBI;1501;KERINCI;150116;SIULAK;1.146;54;940;19;166;2;100
;15;JAMBI;1501;KERINCI;150118;SIULAK MUKAI;548;6;491;9;57;2;14
;15;JAMBI;1501;KERINCI;150122;TANAH COGOK;368;11;243;1;102;2;48
;15;JAMBI;1502;MERANGIN;150202;BANGKO;1.567;199;724;3;447;5;353
;15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;782;554;190;8;110;3;124
;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;565;72;291;3;124;1;195
;15;JAMBI;1502;MERANGIN;150201;JANGKAT;1.079;775;366;12;120;0;75
;15;JAMBI;1502;MERANGIN;150218;JANGKAT TIMUR;1.325;825;744;4;56;0;80
;15;JAMBI;1502;MERANGIN;150209;LEMBAH MASURAI;1.629;1.178;764;9;70;0;71
;15;JAMBI;1502;MERANGIN;150221;MARGO TABIR;732;248;613;8;44;0;56
;15;JAMBI;1502;MERANGIN;150203;MUARA SIAU;896;336;673;7;83;0;108
;15;JAMBI;1502;MERANGIN;150211;NALO TANTAN;1.435;309;1.075;8;276;5;185
;15;JAMBI;1502;MERANGIN;150206;PAMENANG;1.630;324;1.101;18;291;2;225
;15;JAMBI;1502;MERANGIN;150213;PAMENANG BARAT;926;359;470;20;167;1;138
;15;JAMBI;1502;MERANGIN;150220;PAMENANG SELATAN;430;141;213;3;82;0;99
;15;JAMBI;1502;MERANGIN;150217;PANGKALAN JAMBU;366;100;206;4;59;0;45
;15;JAMBI;1502;MERANGIN;150219;RENAH PAMENANG;250;83;55;4;109;1;43
;15;JAMBI;1502;MERANGIN;150216;RENAH PEMBARAP;601;181;317;10;96;5;156
;15;JAMBI;1502;MERANGIN;150204;SUNGAI MANAU;964;441;537;4;92;0;135
;15;JAMBI;1502;MERANGIN;150205;TABIR;2.735;980;2.206;20;212;2;245
;15;JAMBI;1502;MERANGIN;150223;TABIR BARAT;1.379;749;1.070;4;135;1;112
;15;JAMBI;1502;MERANGIN;150214;TABIR ILIR;596;110;510;7;50;0;35
;15;JAMBI;1502;MERANGIN;150222;TABIR LINTAS;370;68;236;1;68;2;50
;15;JAMBI;1502;MERANGIN;150208;TABIR SELATAN;1.089;331;452;9;258;3;194
;15;JAMBI;1502;MERANGIN;150215;TABIR TIMUR;616;303;313;16;99;0;49
;15;JAMBI;1502;MERANGIN;150207;TABIR ULU;750;262;625;4;43;0;66
;15;JAMBI;1502;MERANGIN;150224;TIANG PUMPUNG;197;85;120;2;32;0;28
;15;JAMBI;1503;SAROLANGUN;150307;AIR HITAM;1.611;785;870;15;240;2;216
;15;JAMBI;1503;SAROLANGUN;150301;BATANG ASAI;2.748;1.925;1.895;20;233;2;361
;15;JAMBI;1503;SAROLANGUN;150308;BATHIN VIII;1.193;191;808;9;228;2;180
;15;JAMBI;1503;SAROLANGUN;150310;CERMIN NAN GEDANG;430;191;263;11;42;1;83
;15;JAMBI;1503;SAROLANGUN;150302;LIMUN;1.054;298;755;8;112;1;176
;15;JAMBI;1503;SAROLANGUN;150306;MANDIANGIN;2.108;504;1.638;18;350;3;305
;15;JAMBI;1503;SAROLANGUN;150311;MANDIANGIN TIMUR;972;498;673;1;179;2;123
;15;JAMBI;1503;SAROLANGUN;150304;PAUH;1.334;619;585;6;206;2;216
;15;JAMBI;1503;SAROLANGUN;150305;PELAWAN;1.554;298;798;16;379;6;387
;15;JAMBI;1503;SAROLANGUN;150303;SAROLANGUN;2.826;441;1.173;21;888;12;995
;15;JAMBI;1503;SAROLANGUN;150309;SINGKUT;1.808;349;1.162;10;319;4;274
;15;JAMBI;1504;BATANGHARI;150407;BAJUBANG;2.383;1.489;1.021;10;316;4;267
;15;JAMBI;1504;BATANGHARI;150404;BATIN XXIV;1.728;595;833;8;358;1;306
;15;JAMBI;1504;BATANGHARI;150408;MARO SEBO ILIR;650;161;382;6;121;2;76
;15;JAMBI;1504;BATANGHARI;150406;MARO SEBO ULU;3.119;630;2.337;30;330;2;388
;15;JAMBI;1504;BATANGHARI;150401;MERSAM;1.008;193;529;7;259;1;171
;15;JAMBI;1504;BATANGHARI;150403;MUARA BULIAN;3.677;1.331;1.137;15;964;19;1.034
;15;JAMBI;1504;BATANGHARI;150402;MUARA TEMBESI;1.515;562;653;16;337;2;334
;15;JAMBI;1504;BATANGHARI;150405;PEMAYUNG;1.628;660;619;9;379;3;401
;15;JAMBI;1505;MUARO JAMBI;150510;BAHAR SELATAN;825;216;356;4;183;2;196
;15;JAMBI;1505;MUARO JAMBI;150509;BAHAR UTARA;555;194;181;3;130;4;143
;15;JAMBI;1505;MUARO JAMBI;150501;JAMBI LUAR KOTA;3.451;717;1.351;7;1.024;19;997
;15;JAMBI;1505;MUARO JAMBI;150503;KUMPEH;2.250;245;1.845;8;249;1;253
;15;JAMBI;1505;MUARO JAMBI;150506;KUMPEH ULU;3.463;928;1.487;7;934;16;945
;15;JAMBI;1505;MUARO JAMBI;150504;MARO SEBO;1.258;865;323;13;146;4;169
;15;JAMBI;1505;MUARO JAMBI;150505;MESTONG;2.314;1.048;1.128;10;510;6;361
;15;JAMBI;1505;MUARO JAMBI;150502;SEKERNAN;2.642;880;1.133;7;669;0;629
;15;JAMBI;1505;MUARO JAMBI;150507;SUNGAI BAHAR;768;126;111;6;324;0;301
;15;JAMBI;1505;MUARO JAMBI;150508;SUNGAI GELAM;3.177;1.055;739;8;1.114;14;916
;15;JAMBI;1505;MUARO JAMBI;150511;TAMAN RAJO;788;467;93;5;166;1;155
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150607;BATANG ASAM;2.125;262;1.197;15;537;11;592
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150604;BETARA;3.218;2.533;719;7;434;2;343
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150611;BRAM ITAM;2.716;2.502;1.049;1;242;5;232
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150612;KUALA BETARA;2.378;2.377;675;4;136;2;122
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150605;MERLUNG;411;63;111;7;154;1;150
