NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;jumlah_petani;satuan;tahun
1;15;JAMBI;1504;PINANG;364;KEPALA KELUARGA;2022
2;15;JAMBI;1505;PINANG;1198;KEPALA KELUARGA;2022
3;15;JAMBI;1508;PINANG;2547;KEPALA KELUARGA;2022
4;15;JAMBI;1509;PINANG;520;KEPALA KELUARGA;2022
5;15;JAMBI;1502;PINANG;1503;KEPALA KELUARGA;2022
6;15;JAMBI;1503;PINANG;2852;KEPALA KELUARGA;2022
7;15;JAMBI;1506;PINANG;9343;KEPALA KELUARGA;2022
8;15;JAMBI;1507;PINANG;9463;KEPALA KELUARGA;2022
9;15;JAMBI;1501;PINANG;675;KEPALA KELUARGA;2022
10;15;JAMBI;1572;PINANG;179;KEPALA KELUARGA;2022
11;15;JAMBI;1504;PINANG;404;KEPALA KELUARGA;2023
12;15;JAMBI;1505;PINANG;1322;KEPALA KELUARGA;2023
13;15;JAMBI;1508;PINANG;2548;KEPALA KELUARGA;2023
14;15;JAMBI;1509;PINANG;472;KEPALA KELUARGA;2023
15;15;JAMBI;1502;PINANG;1477;KEPALA KELUARGA;2023
16;15;JAMBI;1503;PINANG;2852;KEPALA KELUARGA;2023
17;15;JAMBI;1506;PINANG;9414;KEPALA KELUARGA;2023
18;15;JAMBI;1507;PINANG;9330;KEPALA KELUARGA;2023
19;15;JAMBI;1501;PINANG;675;KEPALA KELUARGA;2023
20;15;JAMBI;1572;PINANG;179;KEPALA KELUARGA;2023
