NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kategori;data;satuan;semester;jumlah_penduduk;tahun
664;15;JAMBI;1503;150303;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;533;2022
105;15;JAMBI;1503;150304;AKTA LAHIR;MEMILIKI;JIWA;1;7817;2022
249;15;JAMBI;1503;150304;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;506;2022
393;15;JAMBI;1503;150304;AKTA LAHIR;UMUR 0-18;JIWA;1;8323;2022
654;15;JAMBI;1503;150304;AKTA LAHIR;MEMILIKI;JIWA;2;8039;2022
665;15;JAMBI;1503;150304;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;450;2022
106;15;JAMBI;1503;150305;AKTA LAHIR;MEMILIKI;JIWA;1;10928;2022
250;15;JAMBI;1503;150305;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;499;2022
394;15;JAMBI;1503;150305;AKTA LAHIR;UMUR 0-18;JIWA;1;11427;2022
655;15;JAMBI;1503;150305;AKTA LAHIR;MEMILIKI;JIWA;2;10874;2022
666;15;JAMBI;1503;150305;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;465;2022
103;15;JAMBI;1503;150306;AKTA LAHIR;MEMILIKI;JIWA;1;7692;2022
247;15;JAMBI;1503;150306;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;397;2022
391;15;JAMBI;1503;150306;AKTA LAHIR;UMUR 0-18;JIWA;1;8089;2022
656;15;JAMBI;1503;150306;AKTA LAHIR;MEMILIKI;JIWA;2;7771;2022
667;15;JAMBI;1503;150306;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;390;2022
98;15;JAMBI;1503;150307;AKTA LAHIR;MEMILIKI;JIWA;1;7252;2022
242;15;JAMBI;1503;150307;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;606;2022
386;15;JAMBI;1503;150307;AKTA LAHIR;UMUR 0-18;JIWA;1;7858;2022
657;15;JAMBI;1503;150307;AKTA LAHIR;MEMILIKI;JIWA;2;7384;2022
668;15;JAMBI;1503;150307;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;572;2022
100;15;JAMBI;1503;150308;AKTA LAHIR;MEMILIKI;JIWA;1;6141;2022
244;15;JAMBI;1503;150308;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;253;2022
388;15;JAMBI;1503;150308;AKTA LAHIR;UMUR 0-18;JIWA;1;6394;2022
658;15;JAMBI;1503;150308;AKTA LAHIR;MEMILIKI;JIWA;2;6131;2022
669;15;JAMBI;1503;150308;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;225;2022
108;15;JAMBI;1503;150309;AKTA LAHIR;MEMILIKI;JIWA;1;12324;2022
252;15;JAMBI;1503;150309;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;511;2022
396;15;JAMBI;1503;150309;AKTA LAHIR;UMUR 0-18;JIWA;1;12835;2022
659;15;JAMBI;1503;150309;AKTA LAHIR;MEMILIKI;JIWA;2;12265;2022
670;15;JAMBI;1503;150309;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;479;2022
101;15;JAMBI;1503;150310;AKTA LAHIR;MEMILIKI;JIWA;1;4606;2022
245;15;JAMBI;1503;150310;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;223;2022
389;15;JAMBI;1503;150310;AKTA LAHIR;UMUR 0-18;JIWA;1;4829;2022
660;15;JAMBI;1503;150310;AKTA LAHIR;MEMILIKI;JIWA;2;4552;2022
671;15;JAMBI;1503;150310;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;209;2022
104;15;JAMBI;1503;150311;AKTA LAHIR;MEMILIKI;JIWA;1;3737;2022
248;15;JAMBI;1503;150311;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;171;2022
392;15;JAMBI;1503;150311;AKTA LAHIR;UMUR 0-18;JIWA;1;3908;2022
661;15;JAMBI;1503;150311;AKTA LAHIR;MEMILIKI;JIWA;2;3718;2022
672;15;JAMBI;1503;150311;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;164;2022
5;15;JAMBI;1504;150401;AKTA LAHIR;MEMILIKI;JIWA;1;10044;2022
149;15;JAMBI;1504;150401;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;339;2022
293;15;JAMBI;1504;150401;AKTA LAHIR;UMUR 0-18;JIWA;1;10383;2022
635;15;JAMBI;1504;150401;AKTA LAHIR;MEMILIKI;JIWA;2;9689;2022
643;15;JAMBI;1504;150401;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;268;2022
7;15;JAMBI;1504;150402;AKTA LAHIR;MEMILIKI;JIWA;1;10552;2022
151;15;JAMBI;1504;150402;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;840;2022
295;15;JAMBI;1504;150402;AKTA LAHIR;UMUR 0-18;JIWA;1;11392;2022
636;15;JAMBI;1504;150402;AKTA LAHIR;MEMILIKI;JIWA;2;10292;2022
644;15;JAMBI;1504;150402;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;561;2022
6;15;JAMBI;1504;150403;AKTA LAHIR;MEMILIKI;JIWA;1;20959;2022
150;15;JAMBI;1504;150403;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;556;2022
294;15;JAMBI;1504;150403;AKTA LAHIR;UMUR 0-18;JIWA;1;21515;2022
637;15;JAMBI;1504;150403;AKTA LAHIR;MEMILIKI;JIWA;2;20080;2022
645;15;JAMBI;1504;150403;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;348;2022
