NO;kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;komoditi;produktivitas;satuan;tahun
1;15;JAMBI;1501;KERINCI;TEBU;5709;KG/HA;2022
2;15;JAMBI;1572;SUNGAI PENUH;TEBU;2000;KG/HA;2022
