id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;tenaga_kesehatan_masyarakat;tenaga_kesehatan_lingkungan
1;15;JAMBI;1501;67;38
2;15;JAMBI;1502;103;29
3;15;JAMBI;1503;37;22
4;15;JAMBI;1504;46;25
5;15;JAMBI;1505;35;28
6;15;JAMBI;1507;35;20
7;15;JAMBI;1506;36;26
8;15;JAMBI;1509;46;28
9;15;JAMBI;1508;40;27
10;15;JAMBI;1571;57;39
11;15;JAMBI;1572;23;25
