NO;kode_provinsi;nama_provinsi;tahun;jumlah_keluarga_berisiko_stunting;keluarga_tidak_memiliki_sumber_air_minum_layak;keluarga_tidak_memiliki_jamban_layak;pus_terlalu_muda;pus_terlalu_tua;pus_terlalu_dekat;pus_terlalu_banyak
1;15;JAMBI;2021;348.700;90.643;80.014;4.897;151.744;8.298;165.237
2;15;JAMBI;2022;224.759;92062;109255;5409;153677;3172;177543
3;15;JAMBI;2023;191938;76669;96035;1134;38044;434;33431
4;15;JAMBI;2024;137095;57557;53397;2194;34038;572;22343
