id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nakesmedis;gender;jumlah
1;15;JAMBI;1501;DR SPESIALIS ;L;12
2;15;JAMBI;1502;DR SPESIALIS ;L;13
3;15;JAMBI;1503;DR SPESIALIS ;L;15
4;15;JAMBI;1504;DR SPESIALIS ;L;12
5;15;JAMBI;1505;DR SPESIALIS ;L;15
6;15;JAMBI;1507;DR SPESIALIS ;L;7
7;15;JAMBI;1506;DR SPESIALIS ;L;5
8;15;JAMBI;1509;DR SPESIALIS ;L;7
9;15;JAMBI;1508;DR SPESIALIS ;L;20
10;15;JAMBI;1571;DR SPESIALIS ;L;126
11;15;JAMBI;1572;DR SPESIALIS ;L;0
12;15;JAMBI;1501;DR SPESIALIS ;P;5
13;15;JAMBI;1502;DR SPESIALIS ;P;15
14;15;JAMBI;1503;DR SPESIALIS ;P;5
15;15;JAMBI;1504;DR SPESIALIS ;P;5
16;15;JAMBI;1505;DR SPESIALIS ;P;10
17;15;JAMBI;1507;DR SPESIALIS ;P;2
18;15;JAMBI;1506;DR SPESIALIS ;P;4
19;15;JAMBI;1509;DR SPESIALIS ;P;5
20;15;JAMBI;1508;DR SPESIALIS ;P;11
21;15;JAMBI;1571;DR SPESIALIS ;P;110
22;15;JAMBI;1572;DR SPESIALIS ;P;0
23;15;JAMBI;1501;DOKTER UMUM;L;2
24;15;JAMBI;1502;DOKTER UMUM;L;11
25;15;JAMBI;1503;DOKTER UMUM;L;16
26;15;JAMBI;1504;DOKTER UMUM;L;5
27;15;JAMBI;1505;DOKTER UMUM;L;18
28;15;JAMBI;1507;DOKTER UMUM;L;5
29;15;JAMBI;1506;DOKTER UMUM;L;12
30;15;JAMBI;1509;DOKTER UMUM;L;7
31;15;JAMBI;1508;DOKTER UMUM;L;10
32;15;JAMBI;1571;DOKTER UMUM;L;120
33;15;JAMBI;1572;DOKTER UMUM;L;0
34;15;JAMBI;1501;DOKTER UMUM;P;18
35;15;JAMBI;1502;DOKTER UMUM;P;33
36;15;JAMBI;1503;DOKTER UMUM;P;28
37;15;JAMBI;1504;DOKTER UMUM;P;15
38;15;JAMBI;1505;DOKTER UMUM;P;29
39;15;JAMBI;1507;DOKTER UMUM;P;13
40;15;JAMBI;1506;DOKTER UMUM;P;10
41;15;JAMBI;1509;DOKTER UMUM;P;9
42;15;JAMBI;1508;DOKTER UMUM;P;29
43;15;JAMBI;1571;DOKTER UMUM;P;219
44;15;JAMBI;1572;DOKTER UMUM;P;0
45;15;JAMBI;1501;DOKTER GIGI;L;1
46;15;JAMBI;1502;DOKTER GIGI;L;1
47;15;JAMBI;1503;DOKTER GIGI;L;2
48;15;JAMBI;1504;DOKTER GIGI;L;0
49;15;JAMBI;1505;DOKTER GIGI;L;1
50;15;JAMBI;1507;DOKTER GIGI;L;0
51;15;JAMBI;1506;DOKTER GIGI;L;0
52;15;JAMBI;1509;DOKTER GIGI;L;1
53;15;JAMBI;1508;DOKTER GIGI;L;1
54;15;JAMBI;1571;DOKTER GIGI;L;9
55;15;JAMBI;1572;DOKTER GIGI;L;0
56;15;JAMBI;1501;DOKTER GIGI;P;3
57;15;JAMBI;1502;DOKTER GIGI;P;7
58;15;JAMBI;1503;DOKTER GIGI;P;1
59;15;JAMBI;1504;DOKTER GIGI;P;4
60;15;JAMBI;1505;DOKTER GIGI;P;5
61;15;JAMBI;1507;DOKTER GIGI;P;1
62;15;JAMBI;1506;DOKTER GIGI;P;4
63;15;JAMBI;1509;DOKTER GIGI;P;1
64;15;JAMBI;1508;DOKTER GIGI;P;5
65;15;JAMBI;1571;DOKTER GIGI;P;30
66;15;JAMBI;1572;DOKTER GIGI;P;0
67;15;JAMBI;1501;DOKTER GIGI SPESIALIS;L;1
68;15;JAMBI;1502;DOKTER GIGI SPESIALIS;L;0
69;15;JAMBI;1503;DOKTER GIGI SPESIALIS;L;0
70;15;JAMBI;1504;DOKTER GIGI SPESIALIS;L;0
71;15;JAMBI;1505;DOKTER GIGI SPESIALIS;L;0
72;15;JAMBI;1507;DOKTER GIGI SPESIALIS;L;0
73;15;JAMBI;1506;DOKTER GIGI SPESIALIS;L;0
74;15;JAMBI;1509;DOKTER GIGI SPESIALIS;L;1
75;15;JAMBI;1508;DOKTER GIGI SPESIALIS;L;0
