id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nakesmedis;gender;jumlah
76;15;JAMBI;1571;DOKTER GIGI SPESIALIS;L;3
77;15;JAMBI;1572;DOKTER GIGI SPESIALIS;L;0
78;15;JAMBI;1501;DOKTER GIGI SPESIALIS;P;0
79;15;JAMBI;1502;DOKTER GIGI SPESIALIS;P;0
80;15;JAMBI;1503;DOKTER GIGI SPESIALIS;P;0
81;15;JAMBI;1504;DOKTER GIGI SPESIALIS;P;2
82;15;JAMBI;1505;DOKTER GIGI SPESIALIS;P;0
83;15;JAMBI;1507;DOKTER GIGI SPESIALIS;P;0
84;15;JAMBI;1506;DOKTER GIGI SPESIALIS;P;1
85;15;JAMBI;1509;DOKTER GIGI SPESIALIS;P;1
86;15;JAMBI;1508;DOKTER GIGI SPESIALIS;P;0
87;15;JAMBI;1571;DOKTER GIGI SPESIALIS;P;6
88;15;JAMBI;1572;DOKTER GIGI SPESIALIS;P;0
89;15;JAMBI;1501;PERAWAT PKM;L;134
90;15;JAMBI;1502;PERAWAT PKM;L;178
91;15;JAMBI;1503;PERAWAT PKM;L;78
92;15;JAMBI;1504;PERAWAT PKM;L;93
93;15;JAMBI;1505;PERAWAT PKM;L;71
94;15;JAMBI;1507;PERAWAT PKM;L;84
95;15;JAMBI;1506;PERAWAT PKM;L;110
96;15;JAMBI;1509;PERAWAT PKM;L;85
97;15;JAMBI;1508;PERAWAT PKM;L;134
98;15;JAMBI;1571;PERAWAT PKM;L;8
99;15;JAMBI;1572;PERAWAT PKM;L;80
100;15;JAMBI;1501;PERAWAT PKM;P;303
101;15;JAMBI;1502;PERAWAT PKM;P;292
102;15;JAMBI;1503;PERAWAT PKM;P;170
103;15;JAMBI;1504;PERAWAT PKM;P;235
104;15;JAMBI;1505;PERAWAT PKM;P;226
105;15;JAMBI;1507;PERAWAT PKM;P;138
106;15;JAMBI;1506;PERAWAT PKM;P;184
107;15;JAMBI;1509;PERAWAT PKM;P;181
108;15;JAMBI;1508;PERAWAT PKM;P;275
109;15;JAMBI;1571;PERAWAT PKM;P;184
110;15;JAMBI;1572;PERAWAT PKM;P;262
111;15;JAMBI;1501;PERAWAT RS;L;76
112;15;JAMBI;1502;PERAWAT RS;L;70
113;15;JAMBI;1503;PERAWAT RS;L;62
114;15;JAMBI;1504;PERAWAT RS;L;60
115;15;JAMBI;1505;PERAWAT RS;L;58
116;15;JAMBI;1507;PERAWAT RS;L;32
117;15;JAMBI;1506;PERAWAT RS;L;59
118;15;JAMBI;1509;PERAWAT RS;L;50
119;15;JAMBI;1508;PERAWAT RS;L;93
120;15;JAMBI;1571;PERAWAT RS;L;490
121;15;JAMBI;1572;PERAWAT RS;L;0
122;15;JAMBI;1501;PERAWAT RS;P;121
123;15;JAMBI;1502;PERAWAT RS;P;174
124;15;JAMBI;1503;PERAWAT RS;P;121
125;15;JAMBI;1504;PERAWAT RS;P;169
126;15;JAMBI;1505;PERAWAT RS;P;111
127;15;JAMBI;1507;PERAWAT RS;P;71
128;15;JAMBI;1506;PERAWAT RS;P;104
129;15;JAMBI;1509;PERAWAT RS;P;109
130;15;JAMBI;1508;PERAWAT RS;P;278
131;15;JAMBI;1571;PERAWAT RS;P;1617
132;15;JAMBI;1572;PERAWAT RS;P;0
133;15;JAMBI;1501;TENAGA KESEHATAN MASYARAKAT PKM;L;17
134;15;JAMBI;1502;TENAGA KESEHATAN MASYARAKAT PKM;L;37
135;15;JAMBI;1503;TENAGA KESEHATAN MASYARAKAT PKM;L;7
136;15;JAMBI;1504;TENAGA KESEHATAN MASYARAKAT PKM;L;20
137;15;JAMBI;1505;TENAGA KESEHATAN MASYARAKAT PKM;L;10
138;15;JAMBI;1507;TENAGA KESEHATAN MASYARAKAT PKM;L;9
139;15;JAMBI;1506;TENAGA KESEHATAN MASYARAKAT PKM;L;12
140;15;JAMBI;1509;TENAGA KESEHATAN MASYARAKAT PKM;L;17
141;15;JAMBI;1508;TENAGA KESEHATAN MASYARAKAT PKM;L;9
142;15;JAMBI;1571;TENAGA KESEHATAN MASYARAKAT PKM;L;5
143;15;JAMBI;1572;TENAGA KESEHATAN MASYARAKAT PKM;L;6
144;15;JAMBI;1501;TENAGA KESEHATAN MASYARAKAT PKM;P;45
145;15;JAMBI;1502;TENAGA KESEHATAN MASYARAKAT PKM;P;61
146;15;JAMBI;1503;TENAGA KESEHATAN MASYARAKAT PKM;P;24
147;15;JAMBI;1504;TENAGA KESEHATAN MASYARAKAT PKM;P;25
148;15;JAMBI;1505;TENAGA KESEHATAN MASYARAKAT PKM;P;22
149;15;JAMBI;1507;TENAGA KESEHATAN MASYARAKAT PKM;P;30
150;15;JAMBI;1506;TENAGA KESEHATAN MASYARAKAT PKM;P;26
151;15;JAMBI;1509;TENAGA KESEHATAN MASYARAKAT PKM;P;32
152;15;JAMBI;1508;TENAGA KESEHATAN MASYARAKAT PKM;P;27
153;15;JAMBI;1571;TENAGA KESEHATAN MASYARAKAT PKM;P;40
154;15;JAMBI;1572;TENAGA KESEHATAN MASYARAKAT PKM;P;12
155;15;JAMBI;1501;TENAGA KESEHATAN LINGKUNGAN PKM;L;6
156;15;JAMBI;1502;TENAGA KESEHATAN LINGKUNGAN PKM;L;7
157;15;JAMBI;1503;TENAGA KESEHATAN LINGKUNGAN PKM;L;5
158;15;JAMBI;1504;TENAGA KESEHATAN LINGKUNGAN PKM;L;6
159;15;JAMBI;1505;TENAGA KESEHATAN LINGKUNGAN PKM;L;10
160;15;JAMBI;1507;TENAGA KESEHATAN LINGKUNGAN PKM;L;9
161;15;JAMBI;1506;TENAGA KESEHATAN LINGKUNGAN PKM;L;5
162;15;JAMBI;1509;TENAGA KESEHATAN LINGKUNGAN PKM;L;4
163;15;JAMBI;1508;TENAGA KESEHATAN LINGKUNGAN PKM;L;11
164;15;JAMBI;1571;TENAGA KESEHATAN LINGKUNGAN PKM;L;0
165;15;JAMBI;1572;TENAGA KESEHATAN LINGKUNGAN PKM;L;5
166;15;JAMBI;1501;TENAGA KESEHATAN LINGKUNGAN PKM;P;19
167;15;JAMBI;1502;TENAGA KESEHATAN LINGKUNGAN PKM;P;17
168;15;JAMBI;1503;TENAGA KESEHATAN LINGKUNGAN PKM;P;13
169;15;JAMBI;1504;TENAGA KESEHATAN LINGKUNGAN PKM;P;12
170;15;JAMBI;1505;TENAGA KESEHATAN LINGKUNGAN PKM;P;18
171;15;JAMBI;1507;TENAGA KESEHATAN LINGKUNGAN PKM;P;18
172;15;JAMBI;1506;TENAGA KESEHATAN LINGKUNGAN PKM;P;19
173;15;JAMBI;1509;TENAGA KESEHATAN LINGKUNGAN PKM;P;16
174;15;JAMBI;1508;TENAGA KESEHATAN LINGKUNGAN PKM;P;19
175;15;JAMBI;1571;TENAGA KESEHATAN LINGKUNGAN PKM;P;31
176;15;JAMBI;1572;TENAGA KESEHATAN LINGKUNGAN PKM;P;18
177;15;JAMBI;1501;GIZI PKM;L;5
178;15;JAMBI;1502;GIZI PKM;L;7
179;15;JAMBI;1503;GIZI PKM;L;1
180;15;JAMBI;1504;GIZI PKM;L;2
181;15;JAMBI;1505;GIZI PKM;L;0
182;15;JAMBI;1507;GIZI PKM;L;4
183;15;JAMBI;1506;GIZI PKM;L;4
184;15;JAMBI;1509;GIZI PKM;L;0
185;15;JAMBI;1508;GIZI PKM;L;1
186;15;JAMBI;1571;GIZI PKM;L;3
187;15;JAMBI;1572;GIZI PKM;L;0
188;15;JAMBI;1501;GIZI PKM;P;31
189;15;JAMBI;1502;GIZI PKM;P;23
190;15;JAMBI;1503;GIZI PKM;P;17
191;15;JAMBI;1504;GIZI PKM;P;28
192;15;JAMBI;1505;GIZI PKM;P;21
193;15;JAMBI;1507;GIZI PKM;P;26
194;15;JAMBI;1506;GIZI PKM;P;21
195;15;JAMBI;1509;GIZI PKM;P;21
196;15;JAMBI;1508;GIZI PKM;P;26
197;15;JAMBI;1571;GIZI PKM;P;27
198;15;JAMBI;1572;GIZI PKM;P;16
199;15;JAMBI;1501;TENAGA KESEHATAN MASYARAKAT RS;L;1
200;15;JAMBI;1502;TENAGA KESEHATAN MASYARAKAT RS;L;9
201;15;JAMBI;1503;TENAGA KESEHATAN MASYARAKAT RS;L;1
202;15;JAMBI;1504;TENAGA KESEHATAN MASYARAKAT RS;L;1
203;15;JAMBI;1505;TENAGA KESEHATAN MASYARAKAT RS;L;1
204;15;JAMBI;1507;TENAGA KESEHATAN MASYARAKAT RS;L;0
205;15;JAMBI;1506;TENAGA KESEHATAN MASYARAKAT RS;L;5
206;15;JAMBI;1509;TENAGA KESEHATAN MASYARAKAT RS;L;3
207;15;JAMBI;1508;TENAGA KESEHATAN MASYARAKAT RS;L;4
208;15;JAMBI;1571;TENAGA KESEHATAN MASYARAKAT RS;L;7
209;15;JAMBI;1572;TENAGA KESEHATAN MASYARAKAT RS;L;0
210;15;JAMBI;1501;TENAGA KESEHATAN MASYARAKAT RS;P;3
211;15;JAMBI;1502;TENAGA KESEHATAN MASYARAKAT RS;P;27
212;15;JAMBI;1503;TENAGA KESEHATAN MASYARAKAT RS;P;2
213;15;JAMBI;1504;TENAGA KESEHATAN MASYARAKAT RS;P;0
214;15;JAMBI;1505;TENAGA KESEHATAN MASYARAKAT RS;P;4
215;15;JAMBI;1507;TENAGA KESEHATAN MASYARAKAT RS;P;1
216;15;JAMBI;1506;TENAGA KESEHATAN MASYARAKAT RS;P;5
217;15;JAMBI;1509;TENAGA KESEHATAN MASYARAKAT RS;P;10
218;15;JAMBI;1508;TENAGA KESEHATAN MASYARAKAT RS;P;6
219;15;JAMBI;1571;TENAGA KESEHATAN MASYARAKAT RS;P;17
220;15;JAMBI;1572;TENAGA KESEHATAN MASYARAKAT RS;P;0
221;15;JAMBI;1501;TENAGA KESEHATAN LINGKUNGAN RS;L;1
222;15;JAMBI;1502;TENAGA KESEHATAN LINGKUNGAN RS;L;4
223;15;JAMBI;1503;TENAGA KESEHATAN LINGKUNGAN RS;L;2
224;15;JAMBI;1504;TENAGA KESEHATAN LINGKUNGAN RS;L;1
225;15;JAMBI;1505;TENAGA KESEHATAN LINGKUNGAN RS;L;2
226;15;JAMBI;1507;TENAGA KESEHATAN LINGKUNGAN RS;L;1
227;15;JAMBI;1506;TENAGA KESEHATAN LINGKUNGAN RS;L;3
228;15;JAMBI;1509;TENAGA KESEHATAN LINGKUNGAN RS;L;3
229;15;JAMBI;1508;TENAGA KESEHATAN LINGKUNGAN RS;L;6
230;15;JAMBI;1571;TENAGA KESEHATAN LINGKUNGAN RS;L;25
231;15;JAMBI;1572;TENAGA KESEHATAN LINGKUNGAN RS;L;0
232;15;JAMBI;1501;TENAGA KESEHATAN LINGKUNGAN RS;P;1
233;15;JAMBI;1502;TENAGA KESEHATAN LINGKUNGAN RS;P;5
234;15;JAMBI;1503;TENAGA KESEHATAN LINGKUNGAN RS;P;5
235;15;JAMBI;1504;TENAGA KESEHATAN LINGKUNGAN RS;P;1
236;15;JAMBI;1505;TENAGA KESEHATAN LINGKUNGAN RS;P;7
237;15;JAMBI;1507;TENAGA KESEHATAN LINGKUNGAN RS;P;2
238;15;JAMBI;1506;TENAGA KESEHATAN LINGKUNGAN RS;P;4
239;15;JAMBI;1509;TENAGA KESEHATAN LINGKUNGAN RS;P;0
240;15;JAMBI;1508;TENAGA KESEHATAN LINGKUNGAN RS;P;5
241;15;JAMBI;1571;TENAGA KESEHATAN LINGKUNGAN RS;P;24
242;15;JAMBI;1572;TENAGA KESEHATAN LINGKUNGAN RS;P;0
243;15;JAMBI;1501;GIZI RS;L;0
244;15;JAMBI;1502;GIZI RS;L;1
245;15;JAMBI;1503;GIZI RS;L;1
246;15;JAMBI;1504;GIZI RS;L;2
247;15;JAMBI;1505;GIZI RS;L;1
248;15;JAMBI;1507;GIZI RS;L;0
249;15;JAMBI;1506;GIZI RS;L;2
250;15;JAMBI;1509;GIZI RS;L;0
251;15;JAMBI;1508;GIZI RS;L;1
252;15;JAMBI;1571;GIZI RS;L;3
253;15;JAMBI;1572;GIZI RS;L;1
254;15;JAMBI;1501;GIZI RS;P;4
255;15;JAMBI;1502;GIZI RS;P;10
256;15;JAMBI;1503;GIZI RS;P;10
257;15;JAMBI;1504;GIZI RS;P;7
258;15;JAMBI;1505;GIZI RS;P;9
259;15;JAMBI;1507;GIZI RS;P;5
260;15;JAMBI;1506;GIZI RS;P;9
261;15;JAMBI;1509;GIZI RS;P;6
262;15;JAMBI;1508;GIZI RS;P;14
263;15;JAMBI;1571;GIZI RS;P;49
264;15;JAMBI;1572;GIZI RS;P;6
265;15;JAMBI;1501;AHLI LABORATORIUM MEDIK PKM;L;2
266;15;JAMBI;1502;AHLI LABORATORIUM MEDIK PKM;L;8
267;15;JAMBI;1503;AHLI LABORATORIUM MEDIK PKM;L;2
268;15;JAMBI;1504;AHLI LABORATORIUM MEDIK PKM;L;5
269;15;JAMBI;1505;AHLI LABORATORIUM MEDIK PKM;L;2
270;15;JAMBI;1507;AHLI LABORATORIUM MEDIK PKM;L;12
271;15;JAMBI;1506;AHLI LABORATORIUM MEDIK PKM;L;3
272;15;JAMBI;1509;AHLI LABORATORIUM MEDIK PKM;L;3
273;15;JAMBI;1508;AHLI LABORATORIUM MEDIK PKM;L;5
274;15;JAMBI;1571;AHLI LABORATORIUM MEDIK PKM;L;2
275;15;JAMBI;1572;AHLI LABORATORIUM MEDIK PKM;L;1
276;15;JAMBI;1501;TENAGA MEDIK BIOMEDIKA PKM;L;0
277;15;JAMBI;1502;TENAGA MEDIK BIOMEDIKA PKM;L;0
278;15;JAMBI;1503;TENAGA MEDIK BIOMEDIKA PKM;L;0
279;15;JAMBI;1504;TENAGA MEDIK BIOMEDIKA PKM;L;0
280;15;JAMBI;1505;TENAGA MEDIK BIOMEDIKA PKM;L;0
281;15;JAMBI;1507;TENAGA MEDIK BIOMEDIKA PKM;L;0
282;15;JAMBI;1506;TENAGA MEDIK BIOMEDIKA PKM;L;0
283;15;JAMBI;1509;TENAGA MEDIK BIOMEDIKA PKM;L;0
284;15;JAMBI;1508;TENAGA MEDIK BIOMEDIKA PKM;L;0
285;15;JAMBI;1571;TENAGA MEDIK BIOMEDIKA PKM;L;0
286;15;JAMBI;1572;TENAGA MEDIK BIOMEDIKA PKM;L;0
287;15;JAMBI;1501;KETERAPIAN FISIK PKM;L;0
288;15;JAMBI;1502;KETERAPIAN FISIK PKM;L;0
289;15;JAMBI;1503;KETERAPIAN FISIK PKM;L;0
290;15;JAMBI;1504;KETERAPIAN FISIK PKM;L;0
291;15;JAMBI;1505;KETERAPIAN FISIK PKM;L;0
292;15;JAMBI;1507;KETERAPIAN FISIK PKM;L;0
293;15;JAMBI;1506;KETERAPIAN FISIK PKM;L;3
294;15;JAMBI;1509;KETERAPIAN FISIK PKM;L;0
295;15;JAMBI;1508;KETERAPIAN FISIK PKM;L;0
296;15;JAMBI;1571;KETERAPIAN FISIK PKM;L;0
297;15;JAMBI;1572;KETERAPIAN FISIK PKM;L;0
298;15;JAMBI;1501;KETEKNISIAN MEDIS;L;2
299;15;JAMBI;1502;KETEKNISIAN MEDIS;L;7
300;15;JAMBI;1503;KETEKNISIAN MEDIS;L;3
301;15;JAMBI;1504;KETEKNISIAN MEDIS;L;1
302;15;JAMBI;1505;KETEKNISIAN MEDIS;L;5
303;15;JAMBI;1507;KETEKNISIAN MEDIS;L;6
304;15;JAMBI;1506;KETEKNISIAN MEDIS;L;6
305;15;JAMBI;1509;KETEKNISIAN MEDIS;L;7
306;15;JAMBI;1508;KETEKNISIAN MEDIS;L;3
307;15;JAMBI;1571;KETEKNISIAN MEDIS;L;3
308;15;JAMBI;1572;KETEKNISIAN MEDIS;L;3
309;15;JAMBI;1501;AHLI LABORATORIUM MEDIK PKM;P;15
310;15;JAMBI;1502;AHLI LABORATORIUM MEDIK PKM;P;24
311;15;JAMBI;1503;AHLI LABORATORIUM MEDIK PKM;P;15
312;15;JAMBI;1504;AHLI LABORATORIUM MEDIK PKM;P;19
313;15;JAMBI;1505;AHLI LABORATORIUM MEDIK PKM;P;27
314;15;JAMBI;1507;AHLI LABORATORIUM MEDIK PKM;P;21
315;15;JAMBI;1506;AHLI LABORATORIUM MEDIK PKM;P;20
316;15;JAMBI;1509;AHLI LABORATORIUM MEDIK PKM;P;12
317;15;JAMBI;1508;AHLI LABORATORIUM MEDIK PKM;P;15
318;15;JAMBI;1571;AHLI LABORATORIUM MEDIK PKM;P;46
319;15;JAMBI;1572;AHLI LABORATORIUM MEDIK PKM;P;7
320;15;JAMBI;1501;TENAGA MEDIK BIOMEDIKA PKM;P;0
321;15;JAMBI;1502;TENAGA MEDIK BIOMEDIKA PKM;P;0
322;15;JAMBI;1503;TENAGA MEDIK BIOMEDIKA PKM;P;0
323;15;JAMBI;1504;TENAGA MEDIK BIOMEDIKA PKM;P;0
324;15;JAMBI;1505;TENAGA MEDIK BIOMEDIKA PKM;P;0
325;15;JAMBI;1507;TENAGA MEDIK BIOMEDIKA PKM;P;0
326;15;JAMBI;1506;TENAGA MEDIK BIOMEDIKA PKM;P;0
327;15;JAMBI;1509;TENAGA MEDIK BIOMEDIKA PKM;P;0
328;15;JAMBI;1508;TENAGA MEDIK BIOMEDIKA PKM;P;0
329;15;JAMBI;1571;TENAGA MEDIK BIOMEDIKA PKM;P;0
330;15;JAMBI;1572;TENAGA MEDIK BIOMEDIKA PKM;P;0
331;15;JAMBI;1501;KETERAPIAN FISIK PKM;P;0
332;15;JAMBI;1502;KETERAPIAN FISIK PKM;P;4
333;15;JAMBI;1503;KETERAPIAN FISIK PKM;P;0
334;15;JAMBI;1504;KETERAPIAN FISIK PKM;P;1
335;15;JAMBI;1505;KETERAPIAN FISIK PKM;P;0
336;15;JAMBI;1507;KETERAPIAN FISIK PKM;P;0
337;15;JAMBI;1506;KETERAPIAN FISIK PKM;P;5
338;15;JAMBI;1509;KETERAPIAN FISIK PKM;P;1
339;15;JAMBI;1508;KETERAPIAN FISIK PKM;P;0
340;15;JAMBI;1571;KETERAPIAN FISIK PKM;P;0
341;15;JAMBI;1572;KETERAPIAN FISIK PKM;P;1
342;15;JAMBI;1501;KETEKNISIAN MEDIS PKM;P;13
343;15;JAMBI;1502;KETEKNISIAN MEDIS PKM;P;24
344;15;JAMBI;1503;KETEKNISIAN MEDIS PKM;P;21
345;15;JAMBI;1504;KETEKNISIAN MEDIS PKM;P;24
346;15;JAMBI;1505;KETEKNISIAN MEDIS PKM;P;37
347;15;JAMBI;1507;KETEKNISIAN MEDIS PKM;P;21
348;15;JAMBI;1506;KETEKNISIAN MEDIS PKM;P;26
349;15;JAMBI;1509;KETEKNISIAN MEDIS PKM;P;15
350;15;JAMBI;1508;KETEKNISIAN MEDIS PKM;P;14
351;15;JAMBI;1571;KETEKNISIAN MEDIS PKM;P;53
352;15;JAMBI;1572;KETEKNISIAN MEDIS PKM;P;8
353;15;JAMBI;1501;AHLI LABORATORIUM MEDIK RS;L;3
354;15;JAMBI;1502;AHLI LABORATORIUM MEDIK RS;L;9
355;15;JAMBI;1503;AHLI LABORATORIUM MEDIK RS;L;6
356;15;JAMBI;1504;AHLI LABORATORIUM MEDIK RS;L;2
357;15;JAMBI;1505;AHLI LABORATORIUM MEDIK RS;L;2
358;15;JAMBI;1507;AHLI LABORATORIUM MEDIK RS;L;3
359;15;JAMBI;1506;AHLI LABORATORIUM MEDIK RS;L;5
360;15;JAMBI;1509;AHLI LABORATORIUM MEDIK RS;L;0
361;15;JAMBI;1508;AHLI LABORATORIUM MEDIK RS;L;6
362;15;JAMBI;1571;AHLI LABORATORIUM MEDIK RS;L;33
363;15;JAMBI;1572;AHLI LABORATORIUM MEDIK RS;L;0
364;15;JAMBI;1501;TENAGA MEDIK BIOMEDIKA RS;L;9
365;15;JAMBI;1502;TENAGA MEDIK BIOMEDIKA RS;L;8
366;15;JAMBI;1503;TENAGA MEDIK BIOMEDIKA RS;L;6
367;15;JAMBI;1504;TENAGA MEDIK BIOMEDIKA RS;L;3
368;15;JAMBI;1505;TENAGA MEDIK BIOMEDIKA RS;L;5
369;15;JAMBI;1507;TENAGA MEDIK BIOMEDIKA RS;L;2
370;15;JAMBI;1506;TENAGA MEDIK BIOMEDIKA RS;L;4
371;15;JAMBI;1509;TENAGA MEDIK BIOMEDIKA RS;L;3
372;15;JAMBI;1508;TENAGA MEDIK BIOMEDIKA RS;L;5
373;15;JAMBI;1571;TENAGA MEDIK BIOMEDIKA RS;L;36
374;15;JAMBI;1572;TENAGA MEDIK BIOMEDIKA RS;L;3
375;15;JAMBI;1501;KETERAPIAN FISIK RS;L;6
376;15;JAMBI;1502;KETERAPIAN FISIK RS;L;2
377;15;JAMBI;1503;KETERAPIAN FISIK RS;L;3
378;15;JAMBI;1504;KETERAPIAN FISIK RS;L;0
379;15;JAMBI;1505;KETERAPIAN FISIK RS;L;1
380;15;JAMBI;1507;KETERAPIAN FISIK RS;L;0
381;15;JAMBI;1506;KETERAPIAN FISIK RS;L;1
382;15;JAMBI;1509;KETERAPIAN FISIK RS;L;0
383;15;JAMBI;1508;KETERAPIAN FISIK RS;L;1
384;15;JAMBI;1571;KETERAPIAN FISIK RS;L;17
385;15;JAMBI;1572;KETERAPIAN FISIK RS;L;0
386;15;JAMBI;1501;KETEKNISIAN MEDIS RS;L;2
387;15;JAMBI;1502;KETEKNISIAN MEDIS RS;L;1
388;15;JAMBI;1503;KETEKNISIAN MEDIS RS;L;3
389;15;JAMBI;1504;KETEKNISIAN MEDIS RS;L;1
390;15;JAMBI;1505;KETEKNISIAN MEDIS RS;L;2
391;15;JAMBI;1507;KETEKNISIAN MEDIS RS;L;0
392;15;JAMBI;1506;KETEKNISIAN MEDIS RS;L;7
393;15;JAMBI;1509;KETEKNISIAN MEDIS RS;L;5
394;15;JAMBI;1508;KETEKNISIAN MEDIS RS;L;1
395;15;JAMBI;1571;KETEKNISIAN MEDIS RS;L;22
396;15;JAMBI;1572;KETEKNISIAN MEDIS RS;L;0
397;15;JAMBI;1501;AHLI LABORATORIUM MEDIK RS;P;9
398;15;JAMBI;1502;AHLI LABORATORIUM MEDIK RS;P;20
399;15;JAMBI;1503;AHLI LABORATORIUM MEDIK RS;P;18
400;15;JAMBI;1504;AHLI LABORATORIUM MEDIK RS;P;14
401;15;JAMBI;1505;AHLI LABORATORIUM MEDIK RS;P;18
402;15;JAMBI;1507;AHLI LABORATORIUM MEDIK RS;P;9
403;15;JAMBI;1506;AHLI LABORATORIUM MEDIK RS;P;23
404;15;JAMBI;1509;AHLI LABORATORIUM MEDIK RS;P;8
405;15;JAMBI;1508;AHLI LABORATORIUM MEDIK RS;P;24
406;15;JAMBI;1571;AHLI LABORATORIUM MEDIK RS;P;149
407;15;JAMBI;1572;AHLI LABORATORIUM MEDIK RS;P;6
408;15;JAMBI;1501;TENAGA MEDIK BIOMEDIKA RS;P;7
409;15;JAMBI;1502;TENAGA MEDIK BIOMEDIKA RS;P;11
410;15;JAMBI;1503;TENAGA MEDIK BIOMEDIKA RS;P;9
411;15;JAMBI;1504;TENAGA MEDIK BIOMEDIKA RS;P;3
412;15;JAMBI;1505;TENAGA MEDIK BIOMEDIKA RS;P;4
413;15;JAMBI;1507;TENAGA MEDIK BIOMEDIKA RS;P;3
414;15;JAMBI;1506;TENAGA MEDIK BIOMEDIKA RS;P;3
415;15;JAMBI;1509;TENAGA MEDIK BIOMEDIKA RS;P;5
416;15;JAMBI;1508;TENAGA MEDIK BIOMEDIKA RS;P;7
