id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan_desa;kbli;jenis_industri;nama_perusahaan;tenaga_kerja;keterangan;kategori_perusahaan;satuan;tahun
102;15;JAMBI;1503;150303;1503032002;1262;INDUSTRI MINYAK MENTAH KELAPA SAWIT (CPO), PERKEBUNAN BUAH KELAPA SAWIT, INDUSTRI MINYAK MENTAH INTI KELAPA SAWIT (CPKO);PT. DUA SEMERU PUTRA MANDIRI;93;SIINAS;B;PERUSAHAAN;2023
103;15;JAMBI;1503;150303;1503032002;10432;INDUSTRI MINYAK MENTAH KELAPA SAWIT (CPO), PERKEBUNAN BUAH KELAPA SAWIT, INDUSTRI MINYAK MENTAH INTI KELAPA SAWIT (CPKO);PT. DUA SEMERU PUTRA MANDIRI;93;SIINAS;B;PERUSAHAAN;2023
104;15;JAMBI;1503;150305;1503052006;24101;INDUSTRI BESI DAN BAJA DASAR (IRON AND STEEL MAKING), PERDAGANGAN BESAR BARANG LOGAM UNTUK BAHAN KONSTRUKSI, INDUSTRI PENGGILINGAN BAJA (STEEL ROLLING), INDUSTRI PIPA DAN SAMBUNGAN PIPA DARI BAJA DAN BESI;PT. ALFATAH BAJA PERKASA;0;SIINAS;B;PERUSAHAAN;2023
105;15;JAMBI;1503;150305;1503052006;46631;INDUSTRI BESI DAN BAJA DASAR (IRON AND STEEL MAKING), PERDAGANGAN BESAR BARANG LOGAM UNTUK BAHAN KONSTRUKSI, INDUSTRI PENGGILINGAN BAJA (STEEL ROLLING), INDUSTRI PIPA DAN SAMBUNGAN PIPA DARI BAJA DAN BESI;PT. ALFATAH BAJA PERKASA;0;SIINAS;B;PERUSAHAAN;2023
106;15;JAMBI;1503;150305;1503052006;24102;INDUSTRI BESI DAN BAJA DASAR (IRON AND STEEL MAKING), PERDAGANGAN BESAR BARANG LOGAM UNTUK BAHAN KONSTRUKSI, INDUSTRI PENGGILINGAN BAJA (STEEL ROLLING), INDUSTRI PIPA DAN SAMBUNGAN PIPA DARI BAJA DAN BESI;PT. ALFATAH BAJA PERKASA;0;SIINAS;B;PERUSAHAAN;2023
107;15;JAMBI;1503;150305;1503052006;24103;INDUSTRI BESI DAN BAJA DASAR (IRON AND STEEL MAKING), PERDAGANGAN BESAR BARANG LOGAM UNTUK BAHAN KONSTRUKSI, INDUSTRI PENGGILINGAN BAJA (STEEL ROLLING), INDUSTRI PIPA DAN SAMBUNGAN PIPA DARI BAJA DAN BESI;PT. ALFATAH BAJA PERKASA;0;SIINAS;B;PERUSAHAAN;2023
108;15;JAMBI;1506;150606;1506061001;1709;INDUSTRI BARANG DARI KERTAS PAPAN KERTAS LAINNYA;PT. LONTAR PAPYRUS PULP & PAPER INDUSTRY;1574;SIINAS;B;PERUSAHAAN;2023
109;15;JAMBI;1506;150607;1506072003;1043;INDUSTRI MINYAK MAKAN KELAPA SAWIT (CRUDE PALM OIL) DAN MINYAK GORENG KELAPA SAWIT;PT. PERSADA ALAM JAYA;128;SIINAS;B;PERUSAHAAN;2023
110;15;JAMBI;1506;150607;1506072006;10490;INDUSTRI MINYAK MAKAN DAN LEMAK NABATI DAN HEWANI (BUKAN KELAPA DAN KELAPA SAWIT);PT. DASA ANUGRAH SEJATI;1803;AKTIF, SIINAS;B;PERUSAHAAN;2023
111;15;JAMBI;1506;150606;1506062002;126;PERKEBUNAN BUAH-BUAHAN PENGHASIL MINYAK (OLEAGINOUS);PT. TRIMITRA LESTARI;120;AKTIF, SIINAS;B;PERUSAHAAN;2023
112;15;JAMBI;1506;150607;1501192014;1043;INDUSTRI MINYAK MAKAN KELAPA SAWIT (CRUDE PALM OIL) DAN MINYAK GORENG KELAPA SAWIT (INDUSTRI MINYAK MAKAN KELAPA SAWIT);PT. ANEKAPURA MULTIKERTA;40;SIINAS;B;PERUSAHAAN;2023
113;15;JAMBI;1506;150601;1506011005;1;PERTANIAN TANAMAN, PETERNAKAN, PERBURUAN DAN KEGIATAN YBDI (PERKEBUNAN KELAPA SAWIT);PT. PRODUK SAWITINDO JAMBI;109;SIINAS;B;PERUSAHAAN;2023
114;15;JAMBI;1506;150607;1506072003;1043;INDUSTRI MINYAK MAKAN KELAPA SAWIT (CRUDE PALM OIL) DAN MINYAK GORENG KELAPA SAWIT;PT. FORTIUS WAJO PERKEBUNAN;0;SIINAS;B;PERUSAHAAN;2023
115;15;JAMBI;1506;150606;1506062002;10431;INDUSTRI PENGOLAHAN KELAPA SAWIT MENJADI MINYAK SAWIT (CPO) DAN INTI SAWIT (KERNEL);PT. AGRO MITRA MADANI;132;AKTIF, SIINAS;B;PERUSAHAAN;2023
116;15;JAMBI;1506;150606;1506062002;10432;INDUSTRI PENGOLAHAN KELAPA SAWIT MENJADI MINYAK SAWIT (CPO) DAN INTI SAWIT (KERNEL);PT. AGRO MITRA MADANI;132;AKTIF, SIINAS;B;PERUSAHAAN;2023
117;15;JAMBI;1506;150605;1506051007;10490;INDUSTRI MINYAK MAKAN DAN LEMAK NABATI DAN HEWANI LAINNYA SERTA RANSUM MAKANAN HEWAN DAN INDUSTRI MINYAK KELAPA SAWIT (CPO);PT. INTI INDOSAWIT SUBUR;116;AKTIF, SIINAS;B;PERUSAHAAN;2023
118;15;JAMBI;1506;150605;1506051007;10801;INDUSTRI MINYAK MAKAN DAN LEMAK NABATI DAN HEWANI LAINNYA SERTA RANSUM MAKANAN HEWAN DAN INDUSTRI MINYAK KELAPA SAWIT (CPO);PT. INTI INDOSAWIT SUBUR;116;AKTIF, SIINAS;B;PERUSAHAAN;2023
119;15;JAMBI;1506;150605;1506051007;10431;INDUSTRI MINYAK MAKAN DAN LEMAK NABATI DAN HEWANI LAINNYA SERTA RANSUM MAKANAN HEWAN DAN INDUSTRI MINYAK KELAPA SAWIT (CPO);PT. INTI INDOSAWIT SUBUR;116;AKTIF, SIINAS;B;PERUSAHAAN;2023
120;15;JAMBI;1506;150609;1506092002;10490;INDUSTRI MINYAK MAKAN DAN LEMAK NABATI DAN HEWANI (BUKAN KELAPA DAN KELAPA SAWIT);PT. PALMA ABADI;87;AKTIF, SIINAS;B;PERUSAHAAN;2023
121;15;JAMBI;1506;150608;1506082002;10431;INDUSTRI MINYAK KELAPA SAWIT (CPO);PT. PERKEBUNAN NUSANTARA VI;0;AKTIF, SIINAS;B;PERUSAHAAN;2023
122;15;JAMBI;1506;150608;1506082002;10431;PERKEBUNAN;PT. PERKEBUNAN NUSANTARA VI;0;AKTIF, SIINAS;B;PERUSAHAAN;2023
123;15;JAMBI;1506;150604;1506042013;12011;INDUSTRI KRETEK;CV. BAHTERA SEJAHTERA TOBACCO;0;SIINAS;B;PERUSAHAAN;2023
124;15;JAMBI;1506;150601;1506012001;10431;CPO;PT. DASA ANUGRAH SEJATI;108;AKTIF, SIINAS;B;PERUSAHAAN;2023
125;15;JAMBI;1506;150604;1506042001;10;INDUSTRI MAKANAN DAN INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA;PT. RUBY PRIVATINDO;204;AKTIF, SIINAS;B;PERUSAHAAN;2023
126;15;JAMBI;1506;150604;1506042001;20;INDUSTRI MAKANAN DAN INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA;PT. RUBY PRIVATINDO;204;AKTIF, SIINAS;B;PERUSAHAAN;2023
127;15;JAMBI;1506;150609;1506091001;32;INDUSTRI PENGOLAHAN LAINNYA;PT. MITRA SAWIT JAMBI;94;AKTIF, SIINAS;B;PERUSAHAAN;2023
128;15;JAMBI;1502;150222;1502222001;10411;INDUSTRI MINYAK MAKAN DAN LEMAK NABATI DAN HEWANI (BUKAN KELAPA DAN KELAPA SAWIT);PT. AGRINDO INDAH PERSADA;135;SIINAS;B;PERUSAHAAN;2023
129;15;JAMBI;1571;157103;1571031001;2211;"INDUSTRI BAN DAN VULKANISIR BAN; INDUSTRI PENGASAPAN, REMILING DAN KARET RUMAH";PT. HOK TONG;173;AKTIF, SIINAS;B;PERUSAHAAN;2023
130;15;JAMBI;1571;157103;1571031001;2212;"INDUSTRI BAN DAN VULKANISIR BAN; INDUSTRI PENGASAPAN, REMILING DAN KARET RUMAH";PT. HOK TONG;173;AKTIF, SIINAS;B;PERUSAHAAN;2023
131;15;JAMBI;1508;150810;1508102004;1041;INDUSTRI MINYAK MAKAN DAN LEMAK NABATI DAN HEWANI (BUKAN KELAPA DAN KELAPA SAWIT);PT. BINA MITRA MAKMUR;153;AKTIF, SIINAS;B;PERUSAHAAN;2023
132;15;JAMBI;1508;150806;1508062005;10431;INDUSTRI PENGOLAHAN MINYAK MENTAH KELAPA SAWIT (CPO) DAN PENGOLAHAN MINYAK MENTAH INTI KELAPA SAWIT (CPKO)/PERDAGANGAN BESAR, KECUALI MOBIL DAN SEPEDA MOTOR/PERKEBUNAN BUAH KELAPA SAWIT;PT. PRIMA MAS LESTARI;0;SIINAS;B;PERUSAHAAN;2023
133;15;JAMBI;1508;150806;1508062005;10432;INDUSTRI PENGOLAHAN MINYAK MENTAH KELAPA SAWIT (CPO) DAN PENGOLAHAN MINYAK MENTAH INTI KELAPA SAWIT (CPKO)/PERDAGANGAN BESAR, KECUALI MOBIL DAN SEPEDA MOTOR/PERKEBUNAN BUAH KELAPA SAWIT;PT. PRIMA MAS LESTARI;0;SIINAS;B;PERUSAHAAN;2023
134;15;JAMBI;1508;150806;1508062005;1262;INDUSTRI PENGOLAHAN MINYAK MENTAH KELAPA SAWIT (CPO) DAN PENGOLAHAN MINYAK MENTAH INTI KELAPA SAWIT (CPKO)/PERDAGANGAN BESAR, KECUALI MOBIL DAN SEPEDA MOTOR/PERKEBUNAN BUAH KELAPA SAWIT;PT. PRIMA MAS LESTARI;0;SIINAS;B;PERUSAHAAN;2023
135;15;JAMBI;1508;150804;1508042004;22192;INDUSTRI BARANG DARI KARET UNTUK KEPERLUAN INDUSTRI;PT. STAR RUBBER;224;AKTIF, SIINAS;B;PERUSAHAAN;2023
136;15;JAMBI;1508;150801;1508012004;1262;PERKEBUNAN KELAPA SAWIT;PT. JAMIKA RAYA;827;SIINAS;B;PERUSAHAAN;2023
137;15;JAMBI;1505;150502;1505022013;10411;INDUSTRI MINYAK KASAR (MINYAK MAKAN) DARI NABATI;PT. BUKIT BARISAN INDAH PRIMA;94;SIINAS;B;PERUSAHAAN;2023
138;15;JAMBI;1505;150505;1505052001;10431;INDUSTRI MINYAK MENTAH KELAPA SAWIT (CPO) DAN PERKEBUNAN BUAH KELAPA SAWIT;PT. ANGSO DUO SAWIT;827;AKTIF, SIINAS;B;PERUSAHAAN;2023
139;15;JAMBI;1505;150505;1505052001;1262;INDUSTRI MINYAK MENTAH KELAPA SAWIT (CPO) DAN PERKEBUNAN BUAH KELAPA SAWIT;PT. ANGSO DUO SAWIT;827;AKTIF, SIINAS;B;PERUSAHAAN;2023
140;15;JAMBI;1504;150405;1504052007;22123;INDUSTRI KARET REMAH;PT. ANEKA BUMI PRATAMA;574;AKTIF, SIINAS;B;PERUSAHAAN;2023
141;15;JAMBI;1504;150403;1504032019;27520;INDUSTRI PERALATAN ELEKTROTERMAL RUMAH TANGGA;PT. SUPER HOME PRODUCT INDONESIA;0;AKTIF, SIINAS;B;PERUSAHAAN;2023
142;15;JAMBI;1504;150406;1504061014;10431;INDUSTRI MINYAK MENTAH KELAPA SAWIT (CPO) DAN INDUSTRI MINYAK MENTAH INTI KELAPA SAWIT (CPKO);PT. MUTIARA SAWIT SEMESTA;60;SIINAS;B;PERUSAHAAN;2023
143;15;JAMBI;1504;150406;1504061014;10432;INDUSTRI MINYAK MENTAH KELAPA SAWIT (CPO) DAN INDUSTRI MINYAK MENTAH INTI KELAPA SAWIT (CPKO);PT. MUTIARA SAWIT SEMESTA;60;SIINAS;B;PERUSAHAAN;2023
144;15;JAMBI;1505;150509;1505092009;10431;INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL);PT. PERKEBUNAN NUSANTARA VI;0;AKTIF, SIINAS;B;PERUSAHAAN;2023
145;15;JAMBI;1505;150510;1505102010;10431;INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL);PT. PERKEBUNAN NUSANTARA VI;0;AKTIF, SIINAS;B;PERUSAHAAN;2023
146;15;JAMBI;1505;150504;1505042006;20115;PINANG;PT. VPM AGRO INDO;0;SIINAS;B;PERUSAHAAN;2023
147;15;JAMBI;1501;150111;1501112007;11051;INDUSTRI AIR MINUM DALAM KEMASAN;CV. SUNGAI MEDANG WATER;0;SIINAS;B;PERUSAHAAN;2023
148;15;JAMBI;1501;150117;1501172020;11052;DEPOT AIR MINUM ISI ULANG;PR DEPOT AIR MINUM TIRTA SHAULA;0;SIINAS;B;PERUSAHAAN;2023
149;15;JAMBI;1509;150909;1509092002;46202;PERDAGANGAN BESAR BUAH YANG MENGANDUNG MINYAK;PT. TEBO INDAH;0;SIINAS;B;PERUSAHAAN;2023
150;15;JAMBI;1508;150809;1502112007;10431;CRUMB RUBBER;PT. MEGASAWINDO PERKASA POM;200;AKTIF, SIINAS;B;PERUSAHAAN;2023
151;15;JAMBI;1505;150505;1505052001;10801;INDUSTRI RASUM MAKANAN HEWAN, INDUSTRI MINYAK MENTAH DAN LEMAK NABATI DAN HEWANI LAINNYA;PT. MAS MAKMUR;0;SIINAS;B;PERUSAHAAN;2023
152;15;JAMBI;1505;150505;1505052001;10490;INDUSTRI RASUM MAKANAN HEWAN, INDUSTRI MINYAK MENTAH DAN LEMAK NABATI DAN HEWANI LAINNYA;PT. MAS MAKMUR;0;SIINAS;B;PERUSAHAAN;2023
153;15;JAMBI;1505;150505;1505052004;16221;INDUSTRI BARANG BANGUNAN DARI KAYU;PT. TRI MANUNGGAL AGUNG JAYA LESTARI;0;SIINAS;B;PERUSAHAAN;2023
