no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;jumlah_kecamatan;jumlah_desa
1;15;JAMBI;1501;18;285
2;15;JAMBI;1502;24;205
3;15;JAMBI;1503;11;149
4;15;JAMBI;1504;8;110
5;15;JAMBI;1505;11;150
6;15;JAMBI;1506;13;114
7;15;JAMBI;1507;10;73
8;15;JAMBI;1508;16;141
9;15;JAMBI;1509;12;122
10;15;JAMBI;1572;8;65
