id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;jenis_kelamin;jumlah;bulan;tahun
99;15;JAMBI;1507;LAKI-LAKI;0;SEPTEMBER;2024
100;15;JAMBI;1571;LAKI-LAKI;18;OKTOBER;2024
101;15;JAMBI;1504;LAKI-LAKI;27;OKTOBER;2024
102;15;JAMBI;1509;LAKI-LAKI;0;OKTOBER;2024
103;15;JAMBI;1508;LAKI-LAKI;40;OKTOBER;2024
104;15;JAMBI;1502;LAKI-LAKI;0;OKTOBER;2024
105;15;JAMBI;1503;LAKI-LAKI;1;OKTOBER;2024
106;15;JAMBI;1501;LAKI-LAKI;0;OKTOBER;2024
107;15;JAMBI;1572;LAKI-LAKI;0;OKTOBER;2024
108;15;JAMBI;1505;LAKI-LAKI;0;OKTOBER;2024
109;15;JAMBI;1506;LAKI-LAKI;0;OKTOBER;2024
110;15;JAMBI;1507;LAKI-LAKI;0;OKTOBER;2024
111;15;JAMBI;1571;LAKI-LAKI;15;NOVEMBER;2024
112;15;JAMBI;1504;LAKI-LAKI;6;NOVEMBER;2024
113;15;JAMBI;1509;LAKI-LAKI;0;NOVEMBER;2024
114;15;JAMBI;1508;LAKI-LAKI;0;NOVEMBER;2024
115;15;JAMBI;1502;LAKI-LAKI;0;NOVEMBER;2024
116;15;JAMBI;1503;LAKI-LAKI;6;NOVEMBER;2024
117;15;JAMBI;1501;LAKI-LAKI;0;NOVEMBER;2024
118;15;JAMBI;1572;LAKI-LAKI;0;NOVEMBER;2024
119;15;JAMBI;1505;LAKI-LAKI;0;NOVEMBER;2024
120;15;JAMBI;1506;LAKI-LAKI;0;NOVEMBER;2024
121;15;JAMBI;1507;LAKI-LAKI;0;NOVEMBER;2024
122;15;JAMBI;1571;LAKI-LAKI;16;DESEMBER;2024
123;15;JAMBI;1504;LAKI-LAKI;130;DESEMBER;2024
124;15;JAMBI;1509;LAKI-LAKI;100;DESEMBER;2024
125;15;JAMBI;1508;LAKI-LAKI;0;DESEMBER;2024
126;15;JAMBI;1502;LAKI-LAKI;0;DESEMBER;2024
127;15;JAMBI;1503;LAKI-LAKI;0;DESEMBER;2024
128;15;JAMBI;1501;LAKI-LAKI;0;DESEMBER;2024
129;15;JAMBI;1572;LAKI-LAKI;0;DESEMBER;2024
130;15;JAMBI;1505;LAKI-LAKI;0;DESEMBER;2024
131;15;JAMBI;1506;LAKI-LAKI;15;DESEMBER;2024
132;15;JAMBI;1507;LAKI-LAKI;0;DESEMBER;2024
133;15;JAMBI;1571;PEREMPUAN;40;JANUARI;2024
134;15;JAMBI;1504;PEREMPUAN;0;JANUARI;2024
135;15;JAMBI;1509;PEREMPUAN;0;JANUARI;2024
136;15;JAMBI;1508;PEREMPUAN;3;JANUARI;2024
137;15;JAMBI;1502;PEREMPUAN;0;JANUARI;2024
138;15;JAMBI;1503;PEREMPUAN;5;JANUARI;2024
139;15;JAMBI;1501;PEREMPUAN;0;JANUARI;2024
140;15;JAMBI;1572;PEREMPUAN;0;JANUARI;2024
141;15;JAMBI;1505;PEREMPUAN;0;JANUARI;2024
142;15;JAMBI;1506;PEREMPUAN;7;JANUARI;2024
143;15;JAMBI;1507;PEREMPUAN;0;JANUARI;2024
144;15;JAMBI;1571;PEREMPUAN;22;FEBRUARI;2024
145;15;JAMBI;1504;PEREMPUAN;0;FEBRUARI;2024
146;15;JAMBI;1509;PEREMPUAN;0;FEBRUARI;2024
147;15;JAMBI;1508;PEREMPUAN;0;FEBRUARI;2024
148;15;JAMBI;1502;PEREMPUAN;0;FEBRUARI;2024
149;15;JAMBI;1503;PEREMPUAN;0;FEBRUARI;2024
150;15;JAMBI;1501;PEREMPUAN;0;FEBRUARI;2024
151;15;JAMBI;1572;PEREMPUAN;0;FEBRUARI;2024
